created_at,user.name,user.description,text,extended_tweet.full_text,entities.hashtags
Fri Aug 06 18:42:58 +0000 2021,Mudarrisa,"Scrivo un sacco di tweet a caso. Studio lingue in modo compulsivo. Milanese ed europea (a volte anche italiana).
She/her
INFJ-T","TW: transfobia

Raga questə in qualche modo si è convintə che io sia una donna trans e ora mi sta misgenderando. Ci… https://t.co/DJmnxyK7yH","TW: transfobia

Raga questə in qualche modo si è convintə che io sia una donna trans e ora mi sta misgenderando. Cioè io rido, ma che circo veramente.",[]
Fri Aug 06 19:17:08 +0000 2021,Guglielmo Meardi,"European sociologist studying work & economy, unstoppably curious about politics, cooking, football, languages and photography from all world corners",@Cartabellotta Io avrei invitato anche i pinoli e il finocchietto però,,[]
Fri Aug 06 19:17:48 +0000 2021,mor ! ¹⁹¹⁰¹⁹ ꒰⑅ᵕ༚ᵕ꒱˖ villain arc 🦦,fino all’ultima lacrima,credo che l'omofobia stia nel fatto che così si dà per scontato che due amicx dello stesso sesso invece possano sta… https://t.co/fkUbL0VXgP,credo che l'omofobia stia nel fatto che così si dà per scontato che due amicx dello stesso sesso invece possano stare tranquillamente assieme senza che qualcuno cominci a provare dei sentimenti ?? non lo so sto ventando,[]
Sat Aug 07 09:50:34 +0000 2021,IL TEMPO,"Segui Il Tempo Quotidiano Indipendente📰 
Ultim'ora, notizie e video in un tweet","""È un coming out forzato"". Pure i trans contro il green pass #7agosto #greenpass #covid #vaccino #lgbt… https://t.co/O3HTIQuQKr","""È un coming out forzato"". Pure i trans contro il green pass #7agosto #greenpass #covid #vaccino #lgbt #iltempoquotidiano  https://t.co/hakncdFp4v https://t.co/kgdKZM8OKH","[{'text': '7agosto', 'indices': [61, 69]}, {'text': 'greenpass', 'indices': [70, 80]}, {'text': 'covid', 'indices': [81, 87]}, {'text': 'vaccino', 'indices': [88, 96]}, {'text': 'lgbt', 'indices': [97, 102]}]"
Sat Aug 07 12:48:28 +0000 2021,sad,WeLoveSaka-Sancho-Rashford 💕🐘,@hailmer0n In realtà si subiamo transfobia non so come spiegarlo ma ci sono molte donne trans che hanno fatto un co… https://t.co/mEKe7Ntdmo,@hailmer0n In realtà si subiamo transfobia non so come spiegarlo ma ci sono molte donne trans che hanno fatto un commento a riguardo se trovo il tread te lo mando,[]
Sat Aug 07 14:52:49 +0000 2021,ma.ma,Bio-degradabile,"@mbartolotta63 hanno capito benissimo è che provano a infinocchiare gli sprovveduti sparando cazzate nel mucchio, s… https://t.co/cGMaS5py1N","@mbartolotta63 hanno capito benissimo è che provano a infinocchiare gli sprovveduti sparando cazzate nel mucchio, sanno che cosi qualcuno gli darà anche ragione.",[]
Sun Aug 08 07:12:57 +0000 2021,Zbraskij libero 🇵🇸🇨🇺,"blocco volentieri
sionisti, sovranisti, razzisti, liberisti, fasci e imbecilli semplici.","@matteorenzi Pensa fosse stato nero e trans come ti usciva questo tuit, campione di affossamento di diritti e di coerenza.",,[]
Sun Aug 08 10:53:22 +0000 2021,fede,"ita/eng
any pronouns
🏳️‍🌈pan
infp/enfp t(ovviamente)
no terf no mattoni no fasci","tw transfobia

ora rido in sette lingue le rad che si lamentano della prima persona trans a vincere una medaglia se… https://t.co/GSD0ZUwNux","tw transfobia

ora rido in sette lingue le rad che si lamentano della prima persona trans a vincere una medaglia senza sapere che in realtà è enby afab, io mi spezzo in due che ridere.
like, anche se volete fare quel discorso stupidissimo, quello che tuttə ə medicə e",[]
Mon Aug 09 06:56:45 +0000 2021,damn_graphic,"My vision of the world on colorful pop backgrounds
through positive figures, daylife and a lot of serenity",@mraverage_it Un po' come i gay che non lottano per la comunità trans o l'eterna lotta tra monogami e poligami/aper… https://t.co/T3he6Z9OvW,@mraverage_it Un po' come i gay che non lottano per la comunità trans o l'eterna lotta tra monogami e poligami/aperti. Ma vivi e lascia vivere.,[]
Mon Aug 09 08:16:11 +0000 2021,Cosimo Piovasco di Rondò,"L'illusione è la gramigna più tenace della coscienza collettiva; la storia insegna, ma non ha scolari.Gramsci.",@PolScorr @MigranteDaMarte @marattin Perché sei un liberale che schifa i poveri travestito da difensore dei diritti… https://t.co/sPrPcoZr71,@PolScorr @MigranteDaMarte @marattin Perché sei un liberale che schifa i poveri travestito da difensore dei diritti umani informato solo sulla Bielorussia.,[]
Mon Aug 09 13:52:56 +0000 2021,SERE,"Scrivo canzoni, ascolto musica, faccio la focaccia.",Come al solito i diritti delle persone trans non vengono neanche considerati nel momento in cui si legifera. Pratic… https://t.co/9rpx254m8E,Come al solito i diritti delle persone trans non vengono neanche considerati nel momento in cui si legifera. Praticamente cittadinə di serie b.,[]
Mon Aug 09 15:30:16 +0000 2021,Fulvio Pietro Bettagno MD PhD DDS,Surgeon Scientist,"@noordungp @HuffPostItalia Stesso sesso,però......con buona pace di LGBT+(vi siete chiesti perchè si sentono discri… https://t.co/NMzRMFMjPc","@noordungp @HuffPostItalia Stesso sesso,però......con buona pace di LGBT+(vi siete chiesti perchè si sentono discriminati?Dal loro punto di vista nn avrebbero tutti o torti)",[]
Mon Aug 09 17:05:03 +0000 2021,Veronica Saeko,"27 | she/her | Archaeologist. No, I'm not a tomb thief and no, I do not dig dinosaurs. | please check my carrd below before following! 🌈","Perché scrivere ""La comunità LGBTQ+ chiede discrezione per le persone trans al momento del controllo del green pass… https://t.co/9PA5xqt7fO","Perché scrivere ""La comunità LGBTQ+ chiede discrezione per le persone trans al momento del controllo del green pass"" era veramente troppo semplice why not aizzare odio a caso con un titolo fuorviante",[]
Mon Aug 09 17:10:24 +0000 2021,kenno/eztli,they/he ♡︎ gay ♡︎ taken by @BelovedIl ♡︎,"fanculo I froci

#nolgbt #etero #froci #LGBTQ #gay",,"[{'text': 'nolgbt', 'indices': [17, 24]}, {'text': 'etero', 'indices': [25, 31]}, {'text': 'froci', 'indices': [32, 38]}, {'text': 'LGBTQ', 'indices': [39, 45]}, {'text': 'gay', 'indices': [46, 50]}]"
Mon Aug 09 17:34:26 +0000 2021,GeneraleFagiuolo®️👨🏼‍✈️🥇🏅🎖,"#noitaliazombie #norenzioti #nofascioleghioti, ma #sempreforzaNapoli #AD10S👍🏻😏",@mbartolotta63 Poverino. Sta ancora cercando il party della moglie chiedendo a viados e travestiti di Roma. Senza offesa per quest'ultimi.,,[]
